,Unnamed: 0.1,Unnamed: 0,actor,url,org_form
161,161,161,Riksantikvaren,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=974760819,Offentlig forvaltning
162,162,162,Sandefjord kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=916882807,Offentlig forvaltning
163,163,163,SINTEF,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=919303808,Bedrift
164,164,164,Sjøfartsdirektoratet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=974761262,Offentlig forvaltning
165,165,165,Statens vegvesen,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971032081,Offentlig forvaltning
166,166,166,Statsforvalteren i Rogaland,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=974763230,Offentlig forvaltning
167,167,167,Statsforvalteren i Trøndelag,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=974764350,Offentlig forvaltning
168,168,168,Trøndelag fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=817920632,Offentlig forvaltning
169,169,169,Universitetet i Sørøst-Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=911770709,Akademisk institusjon
170,170,170,Vestfold fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=929882385,Offentlig forvaltning
171,171,171,Vestland fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=821311632,Offentlig forvaltning
172,172,172,Vårgrønn,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=925904082,Bedrift
173,173,173,Sivilingeniør Arve Gleissner Gustavsen,,Privatperson
174,174,174,Skagerak Energi,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980495302,Bedrift
175,175,175,Skift - Næringslivets Klimaledere,,Interessegruppe
176,176,176,Skognæringa Kyst SA,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=912899411,Bedrift
177,177,177,Småkraftforeninga,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=884169232,Interessegruppe
178,178,178,SoCentral AS,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=999271561,Bedrift
179,179,179,Sokkeldirektoratet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=870917732,Offentlig forvaltning
180,180,180,Sola INP,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=925866652,Politisk parti
181,181,181,Spire,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=912159167,Interessegruppe
182,182,182,Standard Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=985942897,Interessegruppe
183,183,183,Statkraft AS,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=987059699,Bedrift
184,184,184,Statsbygg,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971278374,Offentlig forvaltning
185,185,185,Statsforvalteren i Vestfold og Telemark,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=974762501,Offentlig forvaltning
186,186,186,Stavanger kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=964965226,Offentlig forvaltning
187,187,187,Stig Eidesmo,,Privatperson
188,188,188,Sunnfjord kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=921244207,Offentlig forvaltning
189,189,189,Syklistforeningen,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=930211249,Interessegruppe
190,190,190,Telemark fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=929882989,Offentlig forvaltning
191,191,191,Thom,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=951358223,Bedrift
192,192,192,Treindustrien,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980308952,Interessegruppe
193,193,193,Tromsø kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=940101808,Offentlig forvaltning
194,194,194,Trondheim kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=942110464,Offentlig forvaltning
195,195,195,Trysil kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=864948502,Offentlig forvaltning
196,196,196,Tysvær Industri- og Næringspartiet,,Politisk parti
197,197,197,Tønsberg kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=921383681,Offentlig forvaltning
198,198,198,Unio,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=984152175,Interessegruppe
199,199,199,Universitets- og høgskolerådet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=917697825,Interessegruppe
200,200,200,Vaksdal INP,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=931434314,Politisk parti
201,201,201,Vennesla kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=936846777,Offentlig forvaltning
202,202,202,Vestnes Industri- og Næringsparti (INP),,Politisk parti
203,203,203,Veterinærinstituttet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=970955623,Offentlig forvaltning
204,204,204,Veterinært bærekraftforum,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=932017636,Interessegruppe
205,205,205,Skift - Næringslivets Klimaledere,,Interessegruppe
206,206,206,WoodWorks! Cluster,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=927525399,Interessegruppe
207,207,207,WWF Verdens naturfond,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=952330071,Frivillig organisasjon
208,208,208,Yara,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=879382882,Bedrift
209,209,209,Yrkesorganisasjonenes Sentralforbund (YS),,Interessegruppe
210,210,210,Z-Clix,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=930476749,Bedrift
211,211,211,ZERO,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=950318651,Frivillig organisasjon
212,212,212,Kviteseid Kommune,,Offentlig forvaltning
213,213,213,Frøya Kommune,,Offentlig forvaltning
214,214,214,Kommunesektorens Organisasjon,,Interessegruppe

